0, 333.149994
1, 322.172974
2, 311.472382
3, 301.300659
4, 291.872498
5, 283.351227
6, 275.840759
7, 269.384613
8, 263.971344
9, 259.544708
10, 256.014313
11, 253.266815
12, 251.178207
13, 249.629807
14, 248.508499
15, 247.715958
16, 247.168747
17, 246.799820
18, 246.557083
19, 246.400986
20, 246.302216
21, 246.241364
22, 246.203156
23, 246.180374
24, 246.167282
25, 246.158295
26, 246.152527
27, 246.149994
28, 246.149994
29, 246.149994
30, 246.149994
31, 246.149994
32, 246.149994
33, 246.149994
34, 246.149994
